S.No,Date,Festivity,Area,Description(If needed),Duration,Interest groups, Regional/Religion-based/Lunar/Solar calendars,If spend/not,Total spend happened(Reserach),
23,23-01-2024,Netaji subhas chandra bose jayanthi,India,NA,1 day,National,Gregorian solar calender,Yes,45000,
24,24-01-2024,National girl child day,India,NA,1 day,"Social, Educational",Gregorian solar calender,Yes,30000,
25,25-01-2024,National voter's day,India,NA,1 day,"Social, Political",Gregorian solar calender,Yes,30000,
26,26-01-2024,Republic day,India,NA,1 day,"Social, Political",Gregorian solar calender,Yes,80000,
27,27-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
28,28-01-2024,Birth Anniversary of Lala Lajpat Rai,India,NA,1 day,"Historical, Political",Gregorian solar calender,Yes,30000,
29,29-01-2024,Basant panchami,North India,NA,1 day,Hindu,Hindu Lunar(Magha),Yes,50000,
30,30-01-2024,Martyr's Day,India,NA,1 day,National,Gregorian solar calender,yes,40000,
31,31-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
32,01-02-2024,Indian coast guard day,India,NA,1 day,National,Gregorian solar calender,Yes,40000,
33,02-02-2024,World wetlands day,Global,NA,1 day,Envirmental Concious ,Gregorian solar calender,Yes,25000,
34,03-02-2024,Kanyakumari festival,Tamilnadu,NA,1 day,Cultural,Gregorian solar calender,yes,40000,
35,04-02-2024,World cancer day,Global,NA,1 day,"Health, social",Gregorian solar calender,Yes,30000,
36,05-02-2024,Basant panchami,North India,NA,1 day,Hindu,Hindu Lunar(Magha),Yes,50000,
37,06-02-2024,Deccan festival,Telangana,NA,1 day,Cultural,Gregorian solar calender,Yes,50000,
38,07-02-2024,sant ravidas jayanti,North India,NA,1 day,Hindu,Hindu Lunar(Magha),Yes,45000,
39,08-02-2024,Harihara mahotsav,Karnataka,NA,1 day,Hindu,Hindu Lunar(Magha),Yes,50000,
40,09-02-2024,Bharat bhusan memorial dance festical,Uttar pradesh,NA,1 day,Cultural,Gregorian solar calender,Yes,30000,
41,10-02-2024,Rathwa festival,Gujarat,NA,1 day,Tribal,Gregorian solar calender,yes,40000,
42,11-02-2024,International day of women and firls in science,Global,NA,1 day,"Educational, social",Gregorian solar calender,Yes,35000,
43,12-02-2024,Darwin day,Global,NA,1 day,"Educational, social",Gregorian solar calender,Yes,25000,
44,13-02-2024,Saraswati puja,Eastern India,NA,1 day,Hindu,Hindu Lunar(Magha),Yes,45000,
45,14-02-2024,valentine's day,Global,NA,1 day,"Social, Cultural",Gregorian solar calender,Yes,35000,
46,15-02-2024,Shivaji Jayanthi,Maharastra,NA,1 day,"Historical, Political",Gregorian solar calender,Yes,50000,
47,16-02-2024,Chapchar kut,Mizoram,NA,1 day,"Cultural, Regional",Gregorian solar calender,Yes,35000,
48,17-02-2024,Shekhawati festival,Rajasthan,NA,1 day,"Cultural, Tourism",Gregorian solar calender,Yes,40000,
49,18-02-2024,Thaipusam,Tamilnadu,NA,1 day,Hindu,Hindu Lunar(Thai month),Yes,55000,
50,19-02-2024,Jaisalmer desert festival,Rajasthan,NA,1 day,"Cultural, Tourism",Gregorian solar calender,Yes,60000,
51,20-02-2024,Arunachal Pradesh foundation day,Arunachal pradesh,NA,1 day,Arunachal pradesh residents,Gregorian solar calender,Yes,50000,
52,21-02-2024,International mother tongue day,Global,NA,1 day,"Educational, social",Gregorian solar calender,Yes,40000,
53,22-02-2024,Khajuraho Dance festival,Madhya pradesh,NA,1 day,Cultural,Gregorian solar calender,Yes,45000,
54,23-02-2024,NA,NA,NA,NA,NA,NA,NA,NA,
55,24-02-2024,Maha shivaratri,India,NA,1 day,Hindu,Hindu Lunar(Phalguna),Yes,70000,
56,25-02-2024,Telangana foundation day,Telangana,NA,1 day,Telangana Residents,Gregorian solar calender,Yes,50000,
57,26-02-2024,Nagaur fair,Rajasthan,NA,1 day,Cultural,Hindu Lunar(Magha),Yes,40000,
58,27-02-2024,sufi festival,Rajasthan,NA,1 day,Islamic,Islamic Lunar calender (Rabi al-Thani),Yes,50000,
59,28-02-2024,National science day,India,NA,1 day,"Educational, social",Gregorian solar calender,Yes,35000,
60,29-02-2024,Marwar festival,Rajasthan,NA,1 day,Cultural,Hindu lunar(Chaitra),Yes,55000,
61,01-03-2024,Chapchar Kut,Mizoram,NA,1 day,Cultural,Hindu solar calender,Yes,50000000-100000000,
62,02-03-2024,NA,NA ,NA,NA,NA ,NA ,NA ,NA,
63,03-03-2024,NA,NA ,NA,NA,NA ,NA ,NA ,NA,
64,04-03-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
65,05-03-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
66,06-03-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
67,07-03-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
68,08-03-2024,International Women's Day,Global,NA,1 day,global,Gregorian solar calender,Yes,200000000-300000000,
69,08-03-2024,Maha Shivaratri,Nationwide,NA,1 day,Cultural,Hindu solar calender,Yes,1000000000-2000000000,
70,09-03-2024,NA,NA,NA,NA,NA,NA ,NA,NA,
71,10-03-2024,Losar,Ladakh,NA,3 days,Cultural,Hindu solar calender,Yes,50000000-100000000,
72,11-03-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
73,12-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
74,13-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
75,14-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
76,15-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
77,16-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
78,17-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
79,18-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
80,19-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
81,20-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
82,21-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
83,22-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
84,23-03-2024,NA,NA ,NA,NA,NA ,NA ,NA ,NA,
85,24-03-2024,Holika Dahan,Nationwide,NA,1 day,Cultural,Hindu solar calender,Yes,500000000-800000000,
86,25-03-2024,Holi,Nationwide,NA,1 day,Cultural,Hindu solar calender,NA,NA,
87,26-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
88,27-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
89,28-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
90,29-03-2024,Good Friday,Global,NA,1 day,"Global , Cultural",Gregorian solar calender,Yes,300000000-500000000,
91,30-03-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
92,31-03-2024,Easter,Global,NA,1 day,"Global , Cultural",Gregorian solar calender,Yes,500000000-700000000,
93,01-04-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
94,02-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
95,03-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
96,04-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
97,05-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
98,06-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
99,07-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
100,08-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
101,09-04-2024,Ugadi,Andhra Pradesh,NA,1 day,Cultural,Hindu solar calender,Yes,400000000-600000000,
102,09-04-2024,Cheti Chand,Sindhi,NA,1 day,"Cultural , Regional",Hindu solar calender,Yes,400000000-600000000,
103,09-04-2024,Gudi Padwa,Maharashtra,NA,1 day,"Cultural , Regional",Hindu solar calender,Yes,400000000-600000000,
104,10-04-2024,Eid-ul-Fitr,Nationwide,NA,1 day,"Cultural , Regional",Islamic Lunar calender (Rabi al-Thani),Yes,2000000000-3000000000,
105,11-04-2024,NA,NA ,NA,NA,NA,NA ,NA ,NA,
106,12-04-2024,NA,NA,NA,NA,NA,NA ,NA ,NA,
107,13-04-2024,Sajibu Cheiraoba,Manipur,NA,1 day,"Cultural , Regional",Hindu solar calender,Yes,100000000-200000000,
108,13-04-2024,Baisakhi,Punjab,NA,1 day,"Cultural , Regional",Hindu solar calender,Yes,100000000-200000000,
109,14-04-2024,Puthandu,Tamil nadu,NA,1 day,"Cultural , Regional",Hindu solar calender,Yes,1000000-2000000,
