S.No,Date,Festivity,Area,Description(If needed),Duration,Interest groups, Regional/Religion-based/Lunar/Solar calendars,If spend/not,Total spend happened(Reserach),
175,14-06-2024,World Blood Donor Day,Global,Recognizes the contributions of blood donors and raises awareness about the need for regular blood donations,1 Day,"Blood banks, healthcare organizations, Red Cross",Gregorian,Yes,500000-1500000,
176,15-06-2024,World Elder Abuse Awareness Day,Global,highlights the issue of elder abuse and the rights of senior citizens,1 Day,"Elderly care organizations, human rights NGOs, healthcare providers",Gregorian,Yes,200000-1000000,
177,16-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
178,17-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
179,18-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
180,19-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
181,20-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
182,21-06-2024,International Day of Yoga,Global,"Government institutions, schools, and communities actively participate.",1 Day,"Yoga organizations, wellness centers, government bodies",Gregorian,Yes,2000000-8000000,
183,22-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
184,23-06-2024,International Olympic Day,Global,Celebrates the founding of the modern Olympic Games,1 Day,"Sports organizations, youth associations, Olympic committees",Gregorian,No,500000-1500000,
185,24-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
186,25-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
187,26-06-2024,International Day Against Drug Abuse and Illicit Trafficking,Global,to raise awareness about the global drug problem,1 Day,"Anti-drug organizations, rehabilitation centers, NGOs",Gregorian,Yes,1500000-4000000,
188,27-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
189,28-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
190,29-06-2024,NA,NA,NA,NA,NA,NA,NA,NA,
191,30-06-2024,World Social Media Day,Global,"highlights the impact of social media on communication, marketing, and social interaction",1 Day,"Social media companies, digital literacy organizations, youth associations",Gregorian,Yes,200000-1000000,
192,01-07-2024,Rath Yatra,Odisha,"Celebrated in Puri, Odisha",,Hindu,Lunar (Ashadha),1,1000000000,
193,01-07-2024,Rath Yatra,West Bengal,Famous chariot festival in Kolkata,,Hindu,Lunar (Ashadha),1,500000000,
194,02-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
195,03-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
196,04-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
197,05-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
198,06-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
199,07-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
200,08-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
201,09-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
202,10-07-2024,Jagannath Rathyatra,Gujarat,Grand chariot festival in Ahmedabad,,Hindu,Lunar (Ashadha),1,300000000,
203,11-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
204,12-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
205,13-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
206,14-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
207,15-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
208,16-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
209,17-07-2024,Guru Purnima,Maharashtra,Spiritual festival honoring teachers,,Hindu,Lunar (Ashadha Purnima),1,400000000,
210,18-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
211,19-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
212,20-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
213,21-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
214,22-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
215,23-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
216,24-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
217,25-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
218,26-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
219,27-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
220,28-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
221,29-07-2024,Muharram,Uttar Pradesh,Islamic New Year,,Muslim,Lunar (Islamic),1,200000000,
222,30-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
223,31-07-2024,Na,Na,No major festivals,,Na,Na,0,NA,
224,01-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
225,02-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
226,03-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
227,04-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
228,05-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
229,06-08-2024,Tulsidas Jayanti,Uttar Pradesh,Honoring the poet Tulsidas,,Hindu,Solar,1,100000000,
230,07-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
231,08-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
232,09-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
233,10-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
234,11-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
235,12-08-2024,Nag Panchami,Maharashtra,Festival in reverence to snakes,,Hindu,Lunar (Shravana),1,150000000,
236,13-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
237,14-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
238,15-08-2024,Independence Day,Delhi,National celebration,,National,Solar,1,1000000000,
239,16-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
240,17-08-2024,Na,Na,No major festivals,,Na,Na,0,NA,
241,18-08-2024,Raksha Bandhan,Haryana,Celebrating the bond between siblings,,Hindu,Lunar (Shravana Purnima),1,350000000,
